"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",9.232057912
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","transport","Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",9.44173292333333
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",1980,"Vint_1980","CO2 emissions - (MTCO2)",101.84637177292
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",1985,"Vint_1985","CO2 emissions - (MTCO2)",100.891230615035
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","building","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",2.74359195986059
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","electricity","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",26.6884093666667
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",32.6275306364727
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",100.600010165918
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","transport","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",37.6187118266667
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",1995,"Vint_1995","CO2 emissions - (MTCO2)",6.54453040109601
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",2000,"Vint_2000","CO2 emissions - (MTCO2)",-4.79992044998378
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","building","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",5.69689487910405
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","electricity","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",67.7535096938409
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",92.0295758371588
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",-9.82894521305687
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","transport","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",79.5261131962346
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","building","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",8.53254030375562
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","electricity","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",79.2722789971812
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",94.2637886773754
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",84.9197655152153
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","transport","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",81.5705705125107
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","building","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",7.23484540289518
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","electricity","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",87.287590501535
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",107.356894176268
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",150.501132642193
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","transport","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",93.1625860072471
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","building","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",7.42051859702755
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","electricity","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",84.6878625856403
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",111.775113372129
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","LUC","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",16.2021684530369
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","transport","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",88.2757872389248
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","building","Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",7.4263794797639
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","electricity","Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",78.5015032766032
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","sector","industry","Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",112.687335761588
