"scenario","region","subRegion","sources","x","xLabel","vintage","units","aggregate","classPalette1","classPalette2","origScen","origQuery","origUnits","origX","class2","class1","value","origValue","classLabel1","classLabel2","param"
"High","Thailand","Thailand","Sources",1980,"Year","Vint_1980","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",1980,"CO2","LUC",101.84637177292,27.7762832107965,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",1985,"Year","Vint_1985","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",1985,"CO2","LUC",100.891230615035,27.5157901677368,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",1990,"Year","Vint_1990","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",1990,"CO2","LUC",100.600010165918,27.4363664088866,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",1995,"Year","Vint_1995","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",1995,"CO2","LUC",6.54453040109601,1.78487192757164,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2000,"Year","Vint_2000","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2000,"CO2","LUC",-4.79992044998378,-1.30906921363194,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2005,"Year","Vint_2005","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2005,"CO2","LUC",-9.82894521305687,-2.68062142174278,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2010,"Year","Vint_2010","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2010,"CO2","LUC",84.9197655152153,23.1599360496042,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2015,"Year","Vint_2015","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2015,"CO2","LUC",150.501132642193,41.0457634478707,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2020,"Year","Vint_2020","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2020,"CO2","LUC",16.2021684530369,4.4187732144646,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2025,"Year","Vint_2025","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2025,"CO2","LUC",19.0096180557967,5.18444128794455,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2030,"Year","Vint_2030","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2030,"CO2","LUC",15.396451528642,4.19903223508418,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2035,"Year","Vint_2035","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2035,"CO2","LUC",19.6588909901299,5.36151572458088,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2040,"Year","Vint_2040","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2040,"CO2","LUC",14.3459620498619,3.91253510450779,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2045,"Year","Vint_2045","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2045,"CO2","LUC",19.1208888817286,5.21478787683506,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2050,"Year","Vint_2050","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2050,"CO2","LUC",14.2583663661839,3.88864537259561,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2055,"Year","Vint_2055","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2055,"CO2","LUC",-0.577382243852066,-0.157467884686927,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2060,"Year","Vint_2060","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2060,"CO2","LUC",-0.365799102013427,-0.0997633914582074,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2065,"Year","Vint_2065","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2065,"CO2","LUC",-0.233766645458717,-0.0637545396705592,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2070,"Year","Vint_2070","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2070,"CO2","LUC",-0.155436827545349,-0.0423918620578225,"sector","ghg","emissCO2BySectorNoBio"
"High","Thailand","Thailand","Sources",2075,"Year","Vint_2075","CO2 emissions - (MTCO2)","sum","pal_all","classPalette2","High","Land Use Change Emission (future)","MtC/yr",2075,"CO2","LUC",-0.104372156725995,-0.0284651336525442,"sector","ghg","emissCO2BySectorNoBio"
