"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",18.6737908353333
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",1980,"Vint_1980","CO2 emissions - (MTCO2)",101.84637177292
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",1985,"Vint_1985","CO2 emissions - (MTCO2)",100.891230615035
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",99.6782437896667
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",100.600010165918
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",1995,"Vint_1995","CO2 emissions - (MTCO2)",6.54453040109601
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2000,"Vint_2000","CO2 emissions - (MTCO2)",-4.79992044998378
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",245.006093606338
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",-9.82894521305687
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",263.639178490823
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",84.9197655152153
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",295.041916087945
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",150.501132642193
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",292.159281793722
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",16.2021684530369
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",281.424330948337
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",19.0096180557967
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2030,"Vint_2030","CO2 emissions - (MTCO2)",278.498783490539
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2030,"Vint_2030","CO2 emissions - (MTCO2)",15.396451528642
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2035,"Vint_2035","CO2 emissions - (MTCO2)",266.539831026393
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2035,"Vint_2035","CO2 emissions - (MTCO2)",19.6588909901299
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2040,"Vint_2040","CO2 emissions - (MTCO2)",248.841118162304
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2040,"Vint_2040","CO2 emissions - (MTCO2)",14.3459620498619
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",233.31433268066
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",19.1208888817286
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",219.325215496289
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",14.2583663661839
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-0.577382243852066
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-0.365799102013427
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-0.233766645458717
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-0.155436827545349
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-0.104372156725995
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-0.070200553316682
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-0.0472502511071809
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-0.031830294227091
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-0.0214619448420498
"High","All of Thailand","All of Thailand","emissCO2BySectorNoBio","Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-0.0144826393009318
"High","Bangkok","Bangkok","emissCO2BySectorNoBio","Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",1.10365983684717
